"x","y","beta_interaction","pval_interaction","y_category","pval_interaction_fdr","pval_interaction_sig","pval_interaction_fdr_sig"
"Age","qT1_median","0.849447151525813",0.406305651860676,"qT1",0.557219179694641,NA,NA
"Age","qT2star_median","0.00049535800211297",6.83733291203324e-07,"qT2star",4.68845685396565e-06,6.83733291203324e-07,4.68845685396565e-06
"Age","t1t2ratio_median","0.000436911612196395",0.580144964193978,"T1w/T2w",0.689397185427856,NA,NA
"Age","T1w_median","0.00050779809269088",0.292182390078792,"T1w",0.412492785993589,NA,NA
"Age","T2w_median","-0.00266126576294553",0.0248130462123929,"T2w",0.0492856606683151,NA,0.0492856606683151
"Age","FLAIR_median","0.00945130807931891",0.000282400102978119,"FLAIR",0.00131387591152009,0.000282400102978119,0.00131387591152009
"Age","qT1_median_PV","-0.0830130652599293",0.933505871833889,"qT1",0.953367698894184,NA,NA
"Age","qT2star_median_PV","0.000436308834117476",1.17723568287044e-05,"qT2star",7.06341409722264e-05,1.17723568287044e-05,7.06341409722264e-05
"Age","t1t2ratio_median_PV","0.000519148361983394",0.476769787391808,"T1w/T2w",0.6185121566164,NA,NA
"Age","T1w_median_PV","0.00117064596655659",0.0210351763140222,"T1w",0.0449181883795801,NA,0.0449181883795801
"Age","T2w_median_PV","-0.00204354832499744",0.108016978995134,"T2w",0.172827166392214,NA,NA
"Age","FLAIR_median_PV","0.00779719187935621",0.00164073928920575,"FLAIR",0.00492221786761725,0.00164073928920575,0.00492221786761725
"Age","qT1_median_deep","1.25760215888892",0.181487971251835,"qT1",0.281013632906067,NA,NA
"Age","qT2star_median_deep","0.000138941601660242",0.0322928939526724,"qT2star",0.0596176503741644,NA,NA
"Age","t1t2ratio_median_deep","0.000383494155606464",0.796340976455473,"T1w/T2w",0.868735610678698,NA,NA
"Age","T1w_median_deep","-0.000221265295501953",0.756660800548062,"T1w",0.864755200626356,NA,NA
"Age","T2w_median_deep","0.000753863514398868",0.785140389970168,"T2w",0.868735610678698,NA,NA
"Age","FLAIR_median_deep","-8.99324574850846e-06",0.995379138357614,"FLAIR",0.995379138357614,NA,NA
"Age","qT1_median_SWM","1.47248671860006",0.192417921853909,"qT1",0.288626882780863,NA,NA
"Age","qT2star_median_SWM","0.000378922701875665",0.000582398599363233,"qT2star",0.00232959439745293,0.000582398599363233,0.00232959439745293
"Age","t1t2ratio_median_SWM","-0.000692351497939943",0.588860095886294,"T1w/T2w",0.689397185427856,NA,NA
"Age","T1w_median_SWM","7.44680194902704e-05",0.890505570236966,"T1w",0.949872608252764,NA,NA
"Age","T2w_median_SWM","-0.00352621696821756",0.0544292187125157,"T2w",0.0950985257668853,NA,NA
"Age","FLAIR_median_SWM","0.00905271514153495",0.00623076983846932,"FLAIR",0.0157408922235014,0.00623076983846932,0.0157408922235014
"WMH_volume","qT1_median","-4.6988487887276",0.473258943744058,"qT1",0.6185121566164,NA,NA
"WMH_volume","qT2star_median","0.00480176738401897",2.34396467639877e-18,"qT2star",1.12510304467141e-16,2.34396467639877e-18,1.12510304467141e-16
"WMH_volume","t1t2ratio_median","-0.00270969409783813",0.56720684585451,"T1w/T2w",0.689397185427856,NA,NA
"WMH_volume","T1w_median","0.00833506085657748",0.00523395260111758,"T1w",0.0139572069363135,0.00523395260111758,0.0139572069363135
"WMH_volume","T2w_median","-0.00840033323269709",0.243300514829483,"T2w",0.353891657933793,NA,NA
"WMH_volume","FLAIR_median","0.105298783936579",5.18753008312308e-14,"FLAIR",6.2250360997477e-13,5.18753008312308e-14,6.2250360997477e-13
"WMH_volume","qT1_median_PV","-11.1987474818898",0.071470973414191,"qT1",0.118296783582109,NA,NA
"WMH_volume","qT2star_median_PV","0.0043794761015164",2.38611233863445e-15,"qT2star",3.81777974181512e-14,2.38611233863445e-15,3.81777974181512e-14
"WMH_volume","t1t2ratio_median_PV","-0.00238910996612397",0.586706763171673,"T1w/T2w",0.689397185427856,NA,NA
"WMH_volume","T1w_median_PV","0.012424240370225",4.1578980918474e-05,"T1w",0.000221754564898528,4.1578980918474e-05,0.000221754564898528
"WMH_volume","T2w_median_PV","0.000791021486692196",0.918241888212473,"T2w",0.953367698894184,NA,NA
"WMH_volume","FLAIR_median_PV","0.0936437289594726",4.42600212511379e-12,"FLAIR",3.54080170009103e-11,4.42600212511379e-12,3.54080170009103e-11
"WMH_volume","qT1_median_deep","18.0809371394022",0.00108097844609614,"qT1",0.00399130503173959,0.00108097844609614,0.00399130503173959
"WMH_volume","qT2star_median_deep","0.00128849099322783",0.00134441422588713,"qT2star",0.00455957350437715,0.00134441422588713,0.00455957350437715
"WMH_volume","t1t2ratio_median_deep","-0.0230915826987929",0.00776865356383875,"T1w/T2w",0.018644768553213,0.00776865356383875,0.018644768553213
"WMH_volume","T1w_median_deep","-0.0105518126399338",0.0127682213584431,"T1w",0.0291845059621557,NA,0.0291845059621557
"WMH_volume","T2w_median_deep","0.0377064065778262",0.0215232985985488,"T2w",0.0449181883795801,NA,0.0449181883795801
"WMH_volume","FLAIR_median_deep","0.0287764400338864",0.00142486672011786,"FLAIR",0.00455957350437715,0.00142486672011786,0.00455957350437715
"WMH_volume","qT1_median_SWM","23.835331089165",0.000301096563056687,"qT1",0.00131387591152009,0.000301096563056687,0.00131387591152009
"WMH_volume","qT2star_median_SWM","0.00486656510841231",1.99521928474601e-16,"qT2star",4.78852628339042e-15,1.99521928474601e-16,4.78852628339042e-15
"WMH_volume","t1t2ratio_median_SWM","-0.0220064538436932",0.00324005449126572,"T1w/T2w",0.00914838915180909,0.00324005449126572,0.00914838915180909
"WMH_volume","T1w_median_SWM","-0.00717091467390664",0.0256696149314141,"T1w",0.0492856606683151,NA,0.0492856606683151
"WMH_volume","T2w_median_SWM","-0.021238344809586",0.0554741400306831,"T2w",0.0950985257668853,NA,NA
"WMH_volume","FLAIR_median_SWM","0.125431822212101",1.20891482688582e-12,"FLAIR",1.16055823381039e-11,1.20891482688582e-12,1.16055823381039e-11
